Name,Balls,Runs,Wkts,Ave,Econ
Arshdeep Singh,79,89,0,0,6.75
Ravichandran Ashwin ,6303,5180,156,33.2,4.93
Jasprit Bumrah,4311,3315,140,23.67,4.61
Yuzvendra Chahal,3739,3283,121,27.13,5.26
Kuldeep Yadav,4855,4132,160,25.82,5.1
Mohammed Shami,4752,4415,176,25.08,5.57
Mohammed Siraj,1591,1338,60,22.3,5.04
Axar Patel,2511,1902,59,32.23,4.54
Shardul Thakur,1940,2014,65,30.98,6.22
Washington Sundar,576,483,16,30.18,5.03
M Muralitharan (Asia/ICC/SL),18811,12326,534,23.08,3.93
Wasim Akram (PAK),18186,11812,502,23.52,3.89
Waqar Younis (PAK),12698,9919,416,23.84,4.68
WPUJC Vaas (Asia/SL),15775,11014,400,27.53,4.18
Shahid Afridi (Asia/ICC/PAK),17670,13632,395,34.51,4.62
SM Pollock (Afr/ICC/SA),15712,9631,393,24.5,3.67
GD McGrath (AUS/ICC),12970,8391,381,22.02,3.88
B Lee (AUS),11185,8877,380,23.36,4.76
SL Malinga (SL),10936,9760,338,28.87,5.35
A Kumble (Asia/INDIA),14496,10412,337,30.89,4.3
ST Jayasuriya (Asia/SL),14874,11871,323,36.75,4.78
J Srinath (INDIA),11935,8847,315,28.08,4.44
DL Vettori (ICC/NZ),14060,9674,305,31.71,4.12
SK Warne (AUS/ICC),10642,7541,293,25.73,4.25
AB Agarkar (INDIA),9484,8021,288,27.85,5.07
Saqlain Mushtaq (PAK),8770,6275,288,21.78,4.29
Z Khan (Asia/INDIA),10097,8301,282,29.43,4.93
JH Kallis (Afr/ICC/SA),10750,8680,273,31.79,4.84
AA Donald (SA),8561,5926,272,21.78,4.15
Abdul Razzaq (Asia/PAK),10941,8564,269,31.83,4.69
JM Anderson (ENG),9584,7861,269,29.22,4.92
Harbhajan Singh (Asia/INDIA),12479,8973,269,33.35,4.31
Mashrafe Mortaza (Asia/BDESH),10789,8759,266,32.92,4.87
M Ntini (ICC/SA),8687,6559,266,24.65,4.53
Shakib Al Hasan (BDESH),10517,7857,260,30.21,4.48
N Kapil Dev (INDIA),11202,6945,253,27.45,3.71
Shoaib Akhtar (Asia/ICC/PAK),7764,6169,247,24.97,4.76
KD Mills (NZ),8230,6485,240,27.02,4.72
MG Johnson (AUS),7489,6038,239,25.26,4.83
HH Streak (Afr/ZIM),9468,7129,239,29.82,4.51
D Gough (ENG/ICC),8470,6209,235,26.42,4.39
CA Walsh (WI),10822,6918,227,30.47,3.83
CEL Ambrose (WI),9353,5429,225,24.12,3.48
Abdur Razzak (BDESH),7965,6065,207,29.29,4.56
CZ Harris (NZ),10667,7613,203,37.5,4.28
CJ McDermott (AUS),7461,5018,203,24.71,4.03
CL Cairns (ICC/NZ),8168,6594,201,32.8,4.84
DJ Bravo (WI),6511,5874,199,29.51,5.41
KMDN Kulasekara (SL),8263,6751,199,33.92,4.9
BKV Prasad (INDIA),8129,6332,196,32.3,4.67
DW Steyn (Afr/SA),6256,5087,196,25.95,4.87
SR Waugh (AUS),8883,6761,195,34.67,4.56
CL Hooper (WI),9573,6958,193,36.05,4.36
L Klusener (SA),7336,5751,192,29.95,4.7
M Morkel (Afr/SA),5760,4761,188,25.32,4.95
CRD Fernando (Asia/SL),6507,5648,187,30.2,5.2
TG Southee (NZ),7021,6373,186,34.26,5.44
Saeed Ajmal (PAK),6000,4182,184,22.72,4.18
Aaqib Javed (PAK),8012,5721,182,31.43,4.28
Imran Khan (PAK),7461,4844,182,26.61,3.89
RA Jadeja (INDIA),8029,6552,181,36.19,4.89
Umar Gul (PAK),6064,5253,179,29.34,5.19
SCJ Broad (ENG),6109,5364,178,30.13,5.26
NW Bracken (AUS),5759,4240,174,24.36,4.41
Imran Tahir (SA),5541,4297,173,24.83,4.65
JDP Oram (NZ),6911,5047,173,29.17,4.38
IK Pathan (INDIA),5855,5142,173,29.72,5.26
MA Starc (AUS),4315,3611,172,20.99,5.02
